PU_Borough,DO_Borough,pickup_ampm,pickup_hour,pickup_min_block,avg_duration,var_duration,TLI,avg_passenger_count,avg_trip_distance,avg_total_amount
Queens,Manhattan,AM,10,15,39,1527,0.66,1.4797864933859364,12.52,56.09
Manhattan,Staten Island,PM,7,0,51,1040,0.34,1.2291666666666667,19.2,86.8
Queens,Staten Island,AM,6,30,46,756,0.28,1.59375,25.78,88.28
Queens,Brooklyn,PM,12,15,37,1463,0.66,1.3916737468139335,13.17,48.46
Staten Island,Queens,AM,3,45,35,0,0.0,3.0,25.74,75.0
Staten Island,Staten Island,PM,7,45,40,3781,1.56,1.6,1.31,88.41
Manhattan,Staten Island,AM,4,30,40,1003,0.42,1.1538461538461535,20.18,70.54
Queens,Bronx,PM,9,30,27,1489,0.91,1.382841328413284,15.9,56.65
Staten Island,Staten Island,PM,8,0,47,2423,0.85,1.0,2.02,68.29
Brooklyn,EWR,PM,6,15,50,715,0.24,1.1428571428571428,18.0,112.55
Brooklyn,EWR,AM,4,0,29,357,0.21,2.4,16.68,90.39
Queens,Queens,PM,6,45,16,1200,1.23,1.4287786744038444,6.06,30.88
Brooklyn,Manhattan,AM,8,15,33,1025,0.53,1.1817453963170537,28.79,33.98
Manhattan,Brooklyn,PM,10,15,25,700,0.46,1.4009789924535998,6.46,32.75
Bronx,Queens,PM,2,30,48,1199,0.42,1.0232558139534884,10.59,49.18
Queens,EWR,AM,1,15,46,414,0.15,1.6,32.33,150.56
Staten Island,Staten Island,AM,5,30,1,65,0.94,2.5,1.0,25.05
Staten Island,Brooklyn,PM,3,0,37,1552,0.69,1.2727272727272727,8.48,49.97
Bronx,Staten Island,AM,9,15,81,1242,0.26,1.0,21.55,78.96
Queens,Queens,PM,7,0,16,1165,1.18,1.4401586157173756,6.17,30.99
Manhattan,Bronx,PM,7,30,27,1030,0.64,1.3365994236311238,8.83,34.79
Brooklyn,Staten Island,PM,10,15,43,388,0.15,1.0,6.82,56.04
Staten Island,Queens,PM,10,30,52,0,0.0,1.0,0.0,71.55
EWR,Queens,AM,11,30,61,0,0.0,1.0,0.06,92.3
Brooklyn,Queens,PM,9,30,25,628,0.41,1.2685185185185186,7.28,34.78
Bronx,Manhattan,AM,1,15,19,596,0.53,1.108108108108108,3.58,22.27
Queens,Brooklyn,AM,10,0,34,1635,0.8,1.3571588617521846,12.67,45.73
Queens,Manhattan,PM,12,15,41,1774,0.72,1.5117271639409653,13.67,59.07
Queens,Queens,AM,4,30,12,826,1.17,1.3857315598548972,44.13,34.06
Staten Island,Bronx,PM,8,30,54,506,0.16,1.0,24.5,79.75
Queens,Staten Island,PM,8,30,45,539,0.2,1.4081632653061225,26.5,90.83
Bronx,Brooklyn,AM,4,15,41,344,0.14,1.0,19.41,68.59
Brooklyn,EWR,PM,10,30,36,90,0.04,2.0,22.41,146.8
Manhattan,Queens,PM,5,0,49,1384,0.47,1.4922690482835612,41.95,57.98
Bronx,Queens,AM,12,0,23,810,0.59,1.0833333333333333,4.57,42.21
Staten Island,Brooklyn,AM,12,15,27,425,0.27,1.0,3.79,46.82
Bronx,Queens,AM,11,45,39,1084,0.46,1.0434782608695652,8.89,51.94
Brooklyn,Bronx,AM,4,15,33,431,0.22,1.0,8.27,58.62
Manhattan,Queens,PM,4,45,51,1373,0.45,1.4983513622953664,15.48,58.56
Manhattan,Staten Island,PM,6,30,49,730,0.25,1.2307692307692308,16.3,84.1
Staten Island,Queens,PM,5,45,62,1009,0.27,0.8571428571428571,11.86,79.39
EWR,Manhattan,PM,3,0,0,0,0.0,1.0,0.0,25.31
Brooklyn,Brooklyn,AM,7,45,19,900,0.78,1.155241935483871,2.67,20.11
Staten Island,Queens,PM,6,0,68,929,0.23,1.2,6.87,81.1
Queens,Brooklyn,AM,5,15,28,768,0.45,1.4196855775803143,14.28,48.13
Brooklyn,Brooklyn,AM,8,0,21,1431,1.12,1.186858316221766,2.8,20.69
Brooklyn,Manhattan,AM,12,30,22,766,0.58,1.4957055214723929,5.68,30.41
Manhattan,Manhattan,PM,10,15,11,342,0.5,1.4636910469880569,4.11,16.57
EWR,Manhattan,PM,2,45,38,1606,0.7,1.0,13.23,85.59
EWR,EWR,PM,10,15,1,46,1.48,1.3,0.31,62.13
Bronx,Bronx,AM,9,45,19,778,0.7,1.105263157894737,6.6,21.4
Queens,Manhattan,AM,10,0,39,1432,0.62,1.4780536624886813,12.54,56.25
EWR,Queens,AM,6,45,17,0,0.0,1.0,9.6,46.0
Brooklyn,EWR,PM,5,45,64,1485,0.38,1.1666666666666667,17.53,103.92
Bronx,Manhattan,PM,3,15,33,1074,0.55,1.2945205479452055,4.95,29.71
Manhattan,Brooklyn,AM,3,15,21,479,0.39,1.3774089935760172,34.3,27.84
Queens,Brooklyn,PM,12,0,36,1860,0.86,1.3707816242107556,13.09,48.14
Brooklyn,Staten Island,AM,3,15,16,778,0.8,1.0,3.34,39.76
Staten Island,Staten Island,PM,7,30,43,3181,1.24,1.125,2.02,62.62
Bronx,Queens,AM,7,15,36,786,0.36,1.0,9.48,50.11
Brooklyn,Manhattan,AM,7,45,31,1007,0.54,1.25703125,385.7,33.73
Bronx,Staten Island,AM,9,0,51,496,0.16,1.0,28.1,95.31
Brooklyn,Manhattan,AM,8,0,33,1245,0.62,1.1662591687041566,160.4,35.06
Queens,EWR,AM,1,0,59,1283,0.36,1.3333333333333333,31.64,148.62
Queens,Queens,PM,6,30,17,1037,1.03,1.422021628385021,11.03,31.13
Manhattan,Brooklyn,PM,10,0,25,856,0.56,1.381087806612158,6.55,32.94
Brooklyn,Staten Island,PM,10,0,31,510,0.28,1.0,3.75,58.81
Bronx,Staten Island,AM,8,45,79,1775,0.38,1.0,24.49,97.56
Staten Island,Brooklyn,PM,2,30,81,2988,0.61,1.0,17.2,65.55
Bronx,Brooklyn,PM,6,15,59,794,0.22,1.0454545454545454,10.49,63.35
Queens,Manhattan,AM,5,15,31,1122,0.61,1.4064237183446573,16.38,62.94
Bronx,Manhattan,AM,1,0,17,482,0.48,1.3421052631578947,4.42,21.78
Brooklyn,Bronx,PM,6,15,58,1010,0.29,1.0,12.43,59.62
Bronx,Brooklyn,AM,4,0,35,504,0.24,1.0,10.82,62.13
EWR,EWR,AM,3,15,0,24,0.95,1.4285714285714286,0.0,66.03
Manhattan,Queens,PM,4,30,52,1418,0.45,1.515735875629706,15.08,59.6
Brooklyn,Brooklyn,PM,9,45,12,560,0.77,1.4115942028985506,2.46,19.16
Staten Island,Brooklyn,AM,12,0,32,118,0.06,1.0,0.0,52.88
Queens,Brooklyn,PM,7,15,35,1214,0.58,1.383258785942492,14.74,50.51
Brooklyn,Bronx,AM,4,0,33,599,0.3,1.0,7.82,42.67
Queens,Manhattan,PM,12,0,41,1646,0.68,1.516317957831812,13.52,58.67
Bronx,Queens,AM,11,30,37,872,0.39,1.0857142857142856,9.64,50.45
Brooklyn,Bronx,AM,3,45,32,536,0.28,1.0,11.35,54.88
Staten Island,Brooklyn,PM,10,45,27,30,0.02,1.0,0.0,53.55
Manhattan,Manhattan,AM,3,15,10,438,0.75,1.4571561292035105,2.57,16.26
Queens,Bronx,AM,1,15,28,669,0.39,1.4545454545454546,17.52,57.56
Bronx,Brooklyn,AM,3,45,38,483,0.21,1.0,9.68,60.46
Brooklyn,Brooklyn,AM,7,30,21,1009,0.81,1.1592105263157897,2.83,19.14
Bronx,Brooklyn,PM,10,30,46,738,0.27,1.3333333333333333,10.89,65.6
Queens,Brooklyn,AM,5,0,28,526,0.31,1.335288367546432,14.3,48.63
Queens,Brooklyn,AM,4,45,27,461,0.29,1.3373702422145328,14.41,48.49
EWR,EWR,PM,10,0,0,28,1.56,1.7692307692307692,0.0,102.68
Brooklyn,Queens,AM,1,15,20,674,0.56,1.3257575757575757,6.15,25.94
Bronx,Bronx,AM,9,30,19,767,0.68,1.0710659898477155,2.58,22.61
Brooklyn,Staten Island,PM,5,15,55,1584,0.48,1.25,3.88,49.55
Staten Island,Manhattan,AM,4,15,49,408,0.14,1.0,0.0,72.22
Manhattan,Manhattan,PM,10,0,11,566,0.83,1.4628613502094912,3.08,16.51
Staten Island,Queens,PM,5,30,74,0,0.0,1.0,0.0,81.8
EWR,Manhattan,PM,2,30,83,2349,0.47,1.6666666666666667,13.73,81.8
Bronx,Queens,PM,9,15,20,1123,0.92,1.0,2.21,31.42
Manhattan,Brooklyn,PM,5,15,36,909,0.42,1.3825014021312394,6.52,36.75
Bronx,Manhattan,PM,2,45,34,1099,0.53,1.2789473684210526,5.37,32.38
EWR,Manhattan,AM,11,45,46,378,0.14,1.0,23.71,98.7
Manhattan,Brooklyn,AM,2,45,21,535,0.43,1.377056536045468,21.84,28.44
Manhattan,Brooklyn,AM,3,0,21,513,0.41,1.395729651629475,5.92,28.21
Brooklyn,Staten Island,AM,3,0,17,332,0.33,1.0,9.26,49.6
Bronx,Manhattan,PM,3,0,32,1045,0.54,1.4161073825503356,5.8,31.9
Bronx,Queens,AM,7,0,30,783,0.43,1.0434782608695652,8.88,49.41
Bronx,Queens,AM,6,45,30,754,0.43,1.05,9.78,53.58
Queens,Manhattan,PM,7,15,35,1164,0.55,1.493118309467538,14.75,62.49
Brooklyn,EWR,PM,5,30,64,966,0.25,2.0,19.68,103.43
Staten Island,Manhattan,PM,10,45,36,622,0.29,1.0,4.89,69.45
Brooklyn,Staten Island,AM,2,45,20,837,0.71,1.0,11.05,28.6
Queens,EWR,PM,3,0,83,1387,0.28,1.706896551724138,34.81,153.95
Brooklyn,Manhattan,PM,9,45,22,1333,0.99,1.5223123732251522,46.17,30.27
Staten Island,Brooklyn,AM,7,15,69,1982,0.48,1.0,17.97,74.89
Staten Island,Manhattan,PM,11,0,31,378,0.21,1.0,2.42,63.1
Bronx,Brooklyn,PM,6,0,64,891,0.23,1.0731707317073171,6.07,61.38
EWR,EWR,PM,5,15,1,69,2.04,1.7857142857142858,0.54,95.82
Staten Island,Brooklyn,AM,3,45,-239,0,-0.0,2.0,20.84,74.19
Manhattan,EWR,PM,1,0,40,767,0.32,1.6926652892561984,17.35,97.96
Manhattan,Queens,AM,9,15,31,956,0.52,1.474428208386277,11.89,52.68
Queens,Manhattan,AM,5,0,29,633,0.36,1.4741086587436332,16.48,63.45
Brooklyn,Bronx,PM,6,0,65,1090,0.28,1.0,12.93,63.49
Bronx,Brooklyn,PM,5,45,63,890,0.24,1.0714285714285714,8.69,61.42
Bronx,Manhattan,AM,12,15,22,627,0.47,1.3506493506493509,4.18,25.02
Brooklyn,Bronx,PM,5,45,67,1069,0.26,1.0175438596491229,14.17,61.86
Queens,Manhattan,AM,4,45,28,751,0.45,1.410979228486647,15.82,61.54
Queens,EWR,AM,12,15,46,809,0.29,1.6666666666666667,31.74,147.86
Manhattan,Manhattan,PM,5,15,13,508,0.63,1.3968235728040894,3.58,16.99
Brooklyn,Manhattan,AM,7,30,31,1042,0.56,1.185483870967742,193.45,34.21
Manhattan,Manhattan,AM,2,45,10,389,0.67,1.458696266605,2.98,16.18
Queens,Brooklyn,PM,6,45,37,1109,0.5,1.4167217012283717,13.73,50.7
Manhattan,Bronx,PM,1,15,30,791,0.43,1.3794992175273866,8.09,35.23
EWR,EWR,AM,2,45,3,166,0.92,1.5,0.0,99.28
Brooklyn,Bronx,AM,3,30,32,526,0.27,1.1666666666666667,11.48,55.1
Bronx,Brooklyn,AM,3,30,43,1084,0.42,1.0,15.68,60.52
Manhattan,EWR,AM,10,15,33,503,0.25,1.6920454545454546,17.08,93.97
Brooklyn,Queens,PM,3,15,47,1260,0.44,1.3772727272727272,11.44,50.42
Staten Island,Manhattan,PM,6,15,61,1263,0.35,1.0,20.12,83.27
EWR,EWR,AM,3,0,0,17,1.21,1.3,0.03,66.58
Staten Island,Brooklyn,AM,11,30,61,1628,0.44,1.0,13.67,64.89
Brooklyn,Brooklyn,PM,9,30,12,578,0.79,1.3815165876777251,2.5,19.63
EWR,Manhattan,AM,7,15,22,0,0.0,3.0,16.14,72.55
Manhattan,Manhattan,AM,3,0,10,419,0.72,1.457780690382232,7.04,16.26
Queens,Bronx,AM,1,0,27,516,0.31,1.444,17.2,60.03
Queens,Brooklyn,PM,7,0,36,1115,0.52,1.390538629643913,14.03,50.27
Queens,Brooklyn,AM,4,30,26,706,0.45,1.4111111111111112,12.91,44.07
Staten Island,Bronx,PM,2,15,75,1502,0.33,1.0,26.78,89.36
Staten Island,Manhattan,AM,3,45,39,0,0.0,1.0,0.0,71.55
Manhattan,Brooklyn,PM,4,45,36,1037,0.48,1.3896433557558066,6.53,37.42
Queens,Staten Island,PM,2,15,68,1352,0.33,1.459016393442623,25.28,88.28
Brooklyn,Staten Island,PM,4,45,38,411,0.18,1.0,11.95,56.81
Staten Island,Manhattan,AM,4,0,83,0,0.0,1.0,37.25,140.82
Brooklyn,Staten Island,PM,5,0,48,832,0.29,1.0,19.6,66.97
Bronx,Queens,PM,8,45,27,843,0.53,1.04,5.54,45.06
Bronx,Queens,PM,9,0,28,1026,0.62,1.0,7.62,43.55
Staten Island,Brooklyn,PM,9,15,33,208,0.1,1.0,17.17,61.12
Manhattan,Brooklyn,PM,5,0,37,1019,0.46,1.4001383763837638,6.56,37.52
Queens,Manhattan,PM,6,45,38,1141,0.5,1.507642542300583,19.85,62.05
Queens,EWR,PM,2,30,85,1547,0.3,1.7628865979381445,35.52,160.03
Queens,Manhattan,PM,7,0,36,1168,0.53,1.5056533314892293,14.52,62.0
Bronx,Manhattan,PM,2,30,32,2095,1.09,1.2039800995024876,4.53,33.2
Staten Island,Brooklyn,PM,5,45,39,719,0.31,1.0,9.04,59.1
Manhattan,Brooklyn,AM,2,30,21,460,0.36,1.3560404470463012,5.97,28.62
Brooklyn,Staten Island,AM,2,30,0,1,0.06,1.0,0.31,17.4
Bronx,Queens,AM,6,30,27,508,0.31,1.00990099009901,9.85,50.16
Staten Island,Brooklyn,AM,7,0,52,1346,0.43,1.0,12.47,55.22
Bronx,Manhattan,AM,11,45,34,939,0.47,1.148936170212766,5.61,34.18
EWR,Manhattan,PM,9,15,39,134,0.06,1.0,17.04,53.0
Manhattan,Manhattan,PM,5,0,14,491,0.6,1.3980525217587458,3.35,17.05
Staten Island,Staten Island,PM,1,15,40,2079,0.88,1.0,1.42,63.14
EWR,EWR,PM,4,45,1,48,1.55,1.883495145631068,0.16,100.5
Queens,Bronx,PM,2,45,46,1183,0.43,1.4194690265486725,16.18,59.07
Manhattan,EWR,PM,12,15,37,1428,0.64,1.6903622693096376,17.33,97.74
Queens,EWR,AM,11,45,63,1287,0.34,1.6142857142857143,31.79,140.06
Manhattan,Queens,AM,8,45,31,771,0.42,1.4697284345047923,35.22,53.24
Manhattan,Manhattan,PM,4,45,13,487,0.61,1.4014429957460248,2.18,16.84
Bronx,Brooklyn,PM,5,30,61,721,0.2,1.0,6.15,59.56
EWR,EWR,PM,5,0,1,150,3.74,1.8521739130434784,0.11,107.93
Brooklyn,Bronx,PM,5,30,62,1194,0.32,1.170731707317073,12.72,58.6
Manhattan,Queens,AM,9,0,31,930,0.5,1.47177509086863,16.99,53.15
Bronx,Manhattan,AM,12,0,24,772,0.53,1.261904761904762,4.52,27.15
Manhattan,EWR,AM,10,0,34,536,0.26,1.6612377850162867,17.42,96.84
Staten Island,Queens,AM,9,45,87,2100,0.4,1.0,19.08,87.13
Brooklyn,Queens,PM,2,45,46,1143,0.41,1.3170731707317074,10.64,49.67
EWR,Manhattan,AM,7,0,87,0,0.0,2.0,14.84,94.55
EWR,Manhattan,AM,6,45,80,3178,0.66,1.0,20.2,101.52
Manhattan,Manhattan,AM,2,30,10,370,0.62,1.462862918685302,5.27,16.25
Queens,Brooklyn,PM,6,30,38,1057,0.46,1.4093091491064285,13.68,50.63
Staten Island,Manhattan,PM,6,0,79,1230,0.26,1.0,10.82,73.16
Brooklyn,Queens,PM,3,0,47,1160,0.41,1.3906976744186046,320.93,51.77
EWR,EWR,AM,2,30,0,25,1.04,1.5555555555555556,5.58,123.4
Staten Island,EWR,PM,1,30,12,0,0.0,1.0,9.26,216.58
Staten Island,Manhattan,PM,5,45,72,742,0.17,1.0,14.48,85.39
Queens,Staten Island,PM,2,0,62,1580,0.43,1.2881355932203389,25.88,89.14
Manhattan,Bronx,AM,10,15,27,756,0.47,1.406374501992032,8.01,33.74
Queens,Staten Island,PM,1,45,58,701,0.2,1.3409090909090908,25.65,84.55
Staten Island,Bronx,PM,1,45,89,1941,0.36,1.0,11.3,95.54
Brooklyn,EWR,AM,9,45,43,860,0.33,2.0,16.79,96.01
Staten Island,Manhattan,AM,3,30,44,0,0.0,1.0,0.0,71.55
Staten Island,Bronx,PM,2,0,72,1006,0.23,1.0,26.17,93.78
Queens,EWR,AM,7,15,63,1272,0.34,1.4727272727272729,34.07,148.56
Bronx,Queens,PM,8,30,25,991,0.65,1.0,4.98,44.43
Brooklyn,Staten Island,PM,4,30,47,1068,0.38,1.0,8.69,59.28
Staten Island,Brooklyn,PM,9,0,35,426,0.2,1.0,15.19,62.5
Manhattan,Brooklyn,PM,4,30,37,983,0.44,1.3943553559974342,6.55,37.12
Brooklyn,Queens,AM,12,15,20,449,0.37,1.3144654088050314,6.04,28.05
Bronx,Manhattan,AM,7,15,37,1036,0.47,1.0437710437710437,240.57,35.08
Queens,Staten Island,AM,11,15,49,763,0.26,1.5714285714285714,23.6,87.61
Staten Island,Bronx,AM,11,15,52,0,0.0,1.0,21.7,81.75
