PU_Borough,DO_Borough,pickup_ampm,pickup_hour,pickup_min_block,avg_duration,var_duration,TLI,avg_passenger_count,avg_trip_distance,avg_total_amount
EWR,EWR,AM,9,15,0,30,1.29,1.7375,1.15,97.29
Bronx,Brooklyn,AM,9,45,56,1204,0.36,1.0,13.02,62.94
Brooklyn,Brooklyn,AM,1,0,11,595,0.93,1.346938775510204,2.47,17.73
Brooklyn,Bronx,AM,9,45,52,815,0.26,1.0,12.78,61.63
Bronx,Bronx,AM,2,45,7,610,1.42,1.25531914893617,1.8,25.61
Queens,Staten Island,AM,11,0,55,567,0.17,1.608695652173913,26.2,86.49
Staten Island,Bronx,AM,11,0,71,347,0.08,1.0,15.73,81.1
Bronx,Bronx,AM,3,0,14,3543,4.36,1.0493827160493827,2.09,23.3
EWR,Manhattan,PM,8,30,33,583,0.3,1.0,15.18,67.92
EWR,Staten Island,AM,1,30,22,0,0.0,2.0,15.58,98.21
Staten Island,EWR,AM,5,45,24,194,0.14,2.6666666666666665,14.76,88.43
Brooklyn,Manhattan,PM,3,15,30,1014,0.56,1.4734799482535577,5.58,32.08
Staten Island,EWR,AM,6,0,25,0,0.0,3.0,15.42,95.06
Brooklyn,Queens,AM,7,15,33,745,0.37,1.3164556962025316,179.88,48.18
Manhattan,Bronx,AM,5,15,20,1083,0.91,1.3443396226415094,8.72,31.43
Staten Island,Staten Island,PM,12,15,56,2918,0.87,1.3333333333333333,3.77,48.79
Bronx,Staten Island,PM,4,15,110,335,0.05,1.0,25.63,87.49
Brooklyn,Staten Island,AM,9,0,48,2501,0.87,1.0,13.75,58.55
Brooklyn,Manhattan,AM,1,0,21,484,0.38,1.3779310344827589,5.61,29.67
Manhattan,Bronx,PM,12,0,29,767,0.44,1.358974358974359,7.98,34.49
Staten Island,Bronx,AM,6,15,55,927,0.28,1.0,26.84,78.42
Queens,EWR,PM,9,0,55,570,0.17,1.4,34.31,150.49
Brooklyn,Staten Island,AM,8,45,33,436,0.22,1.0,15.72,53.34
Manhattan,Brooklyn,AM,8,45,28,778,0.47,1.3290136789056874,7.11,34.05
Queens,Bronx,AM,11,30,36,888,0.42,1.352112676056338,14.65,55.63
Manhattan,Brooklyn,AM,9,0,28,1006,0.6,1.342506631299735,18.7,34.26
Staten Island,Staten Island,AM,10,0,67,2651,0.66,1.0,1.99,63.03
Queens,Staten Island,AM,6,15,43,556,0.22,1.605263157894737,25.34,89.91
Queens,EWR,PM,8,45,57,688,0.2,1.2325581395348837,33.92,160.37
Bronx,Manhattan,PM,8,45,22,669,0.51,1.1612903225806452,4.4,27.07
Bronx,Manhattan,PM,9,0,22,694,0.53,1.4383561643835616,4.74,28.41
Staten Island,Bronx,PM,12,45,88,1194,0.23,1.0,23.05,81.6
Manhattan,EWR,PM,6,45,40,1465,0.61,1.6048064085447262,17.4,101.06
Bronx,Bronx,PM,4,45,19,994,0.87,1.1415384615384616,2.35,21.2
Bronx,Bronx,PM,5,0,19,912,0.82,1.251700680272109,2.39,20.15
Bronx,Manhattan,AM,6,30,38,1038,0.45,1.0628019323671498,7.87,40.42
Brooklyn,Queens,AM,11,30,38,1814,0.79,1.2591093117408907,11.12,44.19
EWR,Queens,PM,2,0,112,1890,0.28,1.0,21.46,94.42
Queens,EWR,AM,6,30,50,597,0.2,1.3428571428571427,31.43,146.8
Manhattan,EWR,PM,7,0,42,749,0.3,1.5519765739385063,17.26,98.14
Brooklyn,Brooklyn,PM,2,45,18,955,0.88,1.2832684824902725,2.34,18.36
Brooklyn,Brooklyn,PM,3,0,18,1181,1.08,1.3279742765273312,57.09,19.0
Manhattan,Staten Island,AM,4,15,38,581,0.26,1.2307692307692308,17.47,74.95
Queens,Bronx,PM,9,15,28,1504,0.91,1.3651252408477843,16.01,57.31
Staten Island,Brooklyn,AM,9,45,40,487,0.2,1.0,17.63,63.09
Queens,Staten Island,PM,12,45,54,914,0.28,1.4166666666666667,25.13,92.25
Bronx,Queens,PM,2,15,42,1107,0.44,1.0789473684210529,9.58,50.44
Staten Island,Staten Island,AM,5,15,0,31,1.15,2.3333333333333335,0.0,15.1
Manhattan,Bronx,PM,7,15,28,690,0.41,1.3367469879518072,8.72,35.44
EWR,EWR,AM,8,45,1,90,2.56,1.5975609756097562,0.59,98.08
Staten Island,Bronx,AM,10,30,68,506,0.12,1.0,23.3,87.86
Bronx,Bronx,AM,2,30,8,1760,3.64,1.2745098039215683,1.78,22.53
EWR,EWR,AM,9,0,0,14,0.97,1.660377358490566,0.44,107.86
Brooklyn,Queens,PM,9,15,24,753,0.52,1.3877551020408163,6.89,30.91
Manhattan,Manhattan,AM,9,0,12,519,0.7,1.3066798698714814,4.69,15.8
Queens,Staten Island,AM,10,30,52,788,0.25,1.59375,27.6,87.47
Queens,Bronx,AM,7,0,48,1087,0.37,1.209813874788494,195.96,62.14
Brooklyn,Bronx,AM,9,30,56,848,0.25,1.0135135135135136,16.18,64.13
Staten Island,Queens,PM,10,15,44,0,0.0,1.0,0.0,74.55
Queens,Bronx,AM,6,45,45,1595,0.6,1.267605633802817,17.82,63.58
Manhattan,EWR,AM,4,30,28,970,0.58,1.5461309523809523,18.29,92.97
Manhattan,Manhattan,AM,8,45,12,528,0.74,1.2987935369560428,4.71,15.56
Bronx,Brooklyn,AM,9,30,59,1106,0.31,1.0,13.17,61.76
Bronx,Staten Island,PM,3,45,83,1733,0.35,1.0,21.07,85.24
Manhattan,Bronx,AM,5,0,22,456,0.35,1.3135802469135802,9.35,33.12
Queens,Staten Island,PM,8,15,52,1488,0.48,1.5692307692307692,26.68,92.43
Bronx,Staten Island,PM,4,0,86,387,0.07,1.0,19.14,87.67
Staten Island,Manhattan,AM,9,45,58,1713,0.5,1.0,15.32,70.01
Queens,Queens,AM,4,15,12,1272,1.76,1.380181347150259,4.57,30.86
Staten Island,Bronx,PM,8,15,68,858,0.21,1.0,21.1,82.1
Brooklyn,Manhattan,PM,2,45,31,1005,0.54,1.5,5.5,31.82
Staten Island,Staten Island,PM,12,0,51,2334,0.76,1.625,0.93,62.22
Brooklyn,Manhattan,PM,3,0,30,736,0.42,1.4869451697127938,5.55,32.24
Brooklyn,Queens,AM,7,0,32,699,0.36,1.1458333333333333,170.93,49.71
Brooklyn,Queens,AM,6,45,30,650,0.37,1.2261306532663316,122.52,47.25
Bronx,Manhattan,PM,8,30,22,596,0.46,1.1466666666666667,4.99,26.31
Manhattan,Brooklyn,AM,8,30,27,736,0.45,1.340722202359671,7.12,33.57
Queens,EWR,PM,8,30,56,853,0.25,1.2666666666666666,33.12,144.39
Manhattan,Staten Island,PM,6,15,53,1043,0.33,1.4545454545454546,15.04,76.67
Staten Island,Bronx,AM,5,45,52,762,0.24,1.0,25.83,82.77
Staten Island,Bronx,AM,6,0,47,318,0.11,1.0,27.1,77.86
Queens,Staten Island,AM,5,45,41,468,0.19,1.148148148148148,25.84,85.45
Brooklyn,Staten Island,AM,8,30,35,442,0.21,1.0,15.66,53.29
Bronx,Staten Island,AM,1,30,81,880,0.18,1.0,15.0,92.53
Manhattan,Queens,AM,2,15,21,275,0.22,1.3881028938906752,6.63,29.29
Queens,Staten Island,AM,6,0,47,969,0.34,1.2592592592592593,23.89,94.52
Staten Island,Bronx,PM,12,30,60,815,0.23,1.0,18.0,96.54
Manhattan,Staten Island,AM,3,45,36,458,0.21,1.4482758620689655,18.09,71.13
Bronx,Bronx,PM,4,30,20,917,0.78,1.2043010752688172,2.42,20.6
Brooklyn,Brooklyn,PM,2,30,19,1004,0.88,1.3214019388516032,31.66,20.33
Staten Island,Staten Island,PM,7,15,34,2389,1.17,1.0,0.75,108.34
Queens,Bronx,PM,9,0,29,605,0.35,1.3874862788144895,15.84,56.46
Manhattan,EWR,PM,6,30,45,805,0.3,1.6067796610169491,17.25,100.42
Queens,Bronx,PM,8,45,28,1419,0.84,1.3752577319587629,16.15,57.87
Queens,Staten Island,PM,12,30,58,820,0.24,1.8205128205128205,25.49,87.66
Manhattan,Staten Island,AM,4,0,34,526,0.26,1.5909090909090908,17.77,71.12
Brooklyn,Brooklyn,AM,12,0,13,767,0.99,1.3207331042382588,56.25,18.9
Staten Island,Brooklyn,PM,2,15,56,663,0.2,1.2,17.45,63.37
Manhattan,Bronx,PM,7,0,28,704,0.42,1.332939787485242,8.02,34.19
Manhattan,Bronx,PM,6,45,30,783,0.44,1.388988629563136,8.14,34.69
Staten Island,Staten Island,AM,5,0,0,7,0.73,1.0,0.13,8.9
Bronx,Queens,PM,1,45,39,979,0.42,1.0,8.05,48.63
Brooklyn,EWR,AM,3,15,33,59,0.03,2.0,17.18,95.81
Brooklyn,Brooklyn,AM,11,45,19,844,0.73,1.2395604395604396,72.32,19.77
Manhattan,Manhattan,AM,8,30,12,534,0.72,1.2949232437188694,5.92,15.96
Staten Island,Staten Island,AM,4,45,6,351,0.98,1.0,1.6,44.15
EWR,EWR,AM,8,30,0,14,0.9,1.6724137931034482,0.87,108.41
Queens,Queens,PM,6,15,17,1166,1.13,1.4314536989136055,5.92,31.21
EWR,Queens,AM,11,0,85,0,0.0,1.0,33.5,114.8
Bronx,Queens,PM,2,0,44,1252,0.47,1.0263157894736843,8.49,50.49
Brooklyn,Queens,PM,8,45,27,775,0.48,1.4807692307692308,7.73,33.55
Bronx,Staten Island,PM,3,30,88,1861,0.35,1.0,14.58,91.82
Manhattan,Queens,PM,4,15,53,1399,0.44,1.514237599510104,16.49,60.16
Queens,Queens,AM,3,45,12,1396,1.97,1.3865671641791044,5.29,29.31
Brooklyn,Queens,AM,6,30,30,683,0.38,1.181818181818182,463.07,45.8
Brooklyn,Manhattan,PM,2,30,30,947,0.53,1.463672391017173,52.76,31.41
Manhattan,Bronx,AM,4,30,22,509,0.38,1.297045101088647,9.64,34.58
Queens,Staten Island,PM,8,0,47,594,0.21,1.6307692307692307,26.38,87.42
Queens,Staten Island,PM,7,45,52,1057,0.34,1.3823529411764706,27.4,89.84
Staten Island,Manhattan,AM,9,30,50,1568,0.52,1.0,14.52,65.09
Bronx,Queens,AM,11,15,39,1040,0.44,1.05,9.45,51.4
EWR,Manhattan,PM,2,15,30,445,0.24,1.75,14.08,64.43
Queens,Staten Island,AM,5,30,44,411,0.16,1.1666666666666667,15.63,85.97
Brooklyn,Brooklyn,AM,7,15,20,943,0.77,1.1366806136680614,2.73,20.37
Manhattan,Queens,AM,2,0,21,420,0.34,1.4036304604486425,6.55,29.12
Brooklyn,Manhattan,AM,11,45,31,1690,0.9,1.3238958097395244,66.6,33.81
Staten Island,Bronx,AM,5,30,41,18,0.01,1.0,26.55,78.53
Manhattan,Queens,AM,1,45,21,588,0.47,1.389280868385346,6.45,29.19
Manhattan,Staten Island,PM,6,0,41,6385,2.6,1.1875,16.34,82.95
Bronx,Bronx,AM,9,15,17,821,0.81,1.1181318681318682,2.6,21.24
Brooklyn,Manhattan,AM,12,0,22,562,0.42,1.4741463414634146,5.72,30.53
Manhattan,Staten Island,PM,5,45,63,1634,0.44,1.3333333333333333,18.01,80.65
Staten Island,Queens,PM,5,15,86,1573,0.3,1.0,16.33,94.18
Bronx,Brooklyn,PM,10,15,-67,12529,-3.12,1.25,9.08,63.93
Brooklyn,EWR,PM,5,15,76,968,0.21,1.3333333333333333,17.04,101.7
EWR,Queens,PM,12,45,52,0,0.0,1.0,36.89,158.52
Queens,Bronx,PM,8,30,29,1388,0.81,1.3880288957688338,15.57,55.95
Staten Island,Staten Island,PM,7,0,35,2911,1.37,1.0625,0.35,63.59
Staten Island,Staten Island,PM,6,45,69,3942,0.95,1.181818181818182,2.62,41.89
Manhattan,Staten Island,AM,3,30,38,457,0.2,1.7407407407407407,17.99,80.14
Manhattan,Bronx,PM,6,30,29,668,0.38,1.3802570093457944,9.84,34.43
Queens,Queens,PM,5,45,18,1329,1.25,1.446245451538207,11.07,32.05
Staten Island,Staten Island,AM,4,30,4,337,1.32,1.0,1.22,36.08
Staten Island,Brooklyn,PM,2,0,71,3210,0.75,1.0,16.06,72.27
Bronx,Queens,PM,1,30,40,1290,0.54,1.0,8.42,50.66
Brooklyn,Queens,PM,8,30,25,1171,0.78,1.4077669902912622,7.74,32.65
Brooklyn,Manhattan,AM,7,15,29,948,0.55,1.1314475873544094,70.07,32.39
Bronx,Staten Island,AM,8,15,66,0,0.0,1.0,26.2,99.56
Brooklyn,Brooklyn,AM,11,30,18,1772,1.61,1.2217228464419476,2.68,19.83
Queens,Queens,PM,6,0,17,998,0.97,1.444379973474801,5.9,31.68
Manhattan,Queens,PM,4,0,54,1393,0.43,1.5356038463167705,23.41,60.99
Brooklyn,Bronx,AM,3,15,32,876,0.46,1.25,14.76,56.28
Bronx,Queens,AM,11,0,40,859,0.36,1.0,8.86,53.18
Queens,Staten Island,PM,7,30,50,770,0.26,1.5783132530120485,27.52,88.3
Staten Island,Brooklyn,AM,11,15,55,1287,0.39,1.0,15.39,54.37
Manhattan,Queens,PM,3,45,51,1309,0.43,1.5017448424509905,33.74,57.76
Brooklyn,Brooklyn,PM,9,15,12,641,0.86,1.3522906793048972,2.44,20.18
Bronx,Queens,AM,10,45,40,1024,0.42,1.0845070422535212,10.2,53.54
Bronx,Brooklyn,AM,3,15,40,410,0.17,1.0,0.0,57.55
Queens,Queens,AM,3,30,13,886,1.12,1.3714517437145175,15.72,26.7
Bronx,Bronx,AM,9,0,18,736,0.67,1.111392405063291,2.42,21.46
Brooklyn,Brooklyn,AM,7,0,21,1015,0.81,1.1295418641390205,97.23,21.21
Staten Island,Queens,PM,4,45,75,916,0.2,1.0,8.69,86.53
Queens,Brooklyn,AM,4,15,24,827,0.56,1.3555555555555556,12.05,41.53
Brooklyn,Bronx,PM,10,0,48,797,0.28,1.03921568627451,7.14,59.33
Brooklyn,Manhattan,AM,11,30,31,1008,0.55,1.2531914893617022,5.86,33.18
EWR,Manhattan,PM,2,0,33,1565,0.78,2.3333333333333335,18.49,94.32
Staten Island,Queens,PM,5,0,86,1241,0.24,1.0,10.59,81.93
Manhattan,Staten Island,PM,5,30,64,1395,0.36,1.4666666666666666,17.82,90.22
EWR,Manhattan,PM,1,45,52,1181,0.38,2.4,16.93,96.88
Bronx,Brooklyn,PM,10,0,45,775,0.28,1.0,12.96,67.93
Bronx,Staten Island,AM,12,30,49,0,0.0,1.0,22.7,77.65
Brooklyn,Brooklyn,AM,6,45,16,905,0.97,1.123055162659123,2.34,17.41
Manhattan,Queens,AM,1,30,21,955,0.75,1.3782790520846535,6.33,28.76
EWR,Manhattan,AM,11,15,45,0,0.0,1.0,17.77,81.66
Staten Island,Staten Island,PM,6,30,8,828,1.78,1.125,2.64,62.39
Brooklyn,Staten Island,AM,2,15,24,873,0.6,1.375,5.93,46.66
Queens,EWR,PM,2,15,77,1314,0.28,1.637362637362637,33.84,157.78
Brooklyn,EWR,PM,5,0,72,1010,0.23,1.4285714285714286,17.15,107.47
Bronx,Manhattan,PM,2,15,36,1125,0.52,1.3072916666666667,4.77,33.03
Bronx,Queens,AM,6,15,29,516,0.29,1.0,11.15,45.48
EWR,Staten Island,AM,7,30,29,0,0.0,1.0,16.75,82.05
Staten Island,Manhattan,PM,10,15,47,109,0.04,1.0,8.82,75.03
Brooklyn,EWR,PM,4,45,70,1402,0.33,1.25,16.6,106.79
Brooklyn,Manhattan,PM,9,15,22,1396,1.06,1.4494518879415348,69.61,30.3
Manhattan,Brooklyn,AM,2,15,21,464,0.37,1.4058934169278996,5.97,28.63
Bronx,Staten Island,AM,8,0,41,106,0.04,1.0,20.55,95.85
Bronx,Queens,PM,12,45,42,1174,0.47,1.0,8.69,50.3
Bronx,Staten Island,AM,7,45,75,339,0.08,1.0,17.9,81.1
Bronx,Brooklyn,PM,5,15,65,1040,0.27,1.0,10.19,60.94
Brooklyn,Manhattan,AM,7,0,29,1063,0.62,1.13026444662096,58.99,32.78
Queens,Queens,PM,5,30,18,986,0.91,1.4323758479189348,5.86,31.72
Brooklyn,Manhattan,AM,6,45,28,1062,0.63,1.1413255360623782,70.39,34.37
Staten Island,Brooklyn,PM,1,30,49,1608,0.54,1.0,14.36,61.94
Brooklyn,Bronx,PM,5,15,71,1728,0.4,1.0,13.71,59.22
Brooklyn,Brooklyn,PM,8,45,13,694,0.88,1.3754295532646048,2.46,19.96
Bronx,Brooklyn,AM,3,0,36,333,0.16,1.0,0.0,52.73
EWR,EWR,AM,2,15,0,10,0.67,1.5454545454545454,0.0,112.99
EWR,Queens,PM,7,45,65,0,0.0,1.0,40.7,166.92
Bronx,Brooklyn,AM,2,45,34,0,0.0,1.0,0.0,54.55
Manhattan,Manhattan,AM,2,15,10,387,0.65,1.4671329549975918,6.01,16.31
Brooklyn,Bronx,AM,3,0,43,420,0.16,1.0,10.04,73.84
Brooklyn,Bronx,AM,2,45,29,410,0.23,1.0,13.99,57.52
Staten Island,Brooklyn,AM,11,0,60,2023,0.56,1.0,15.22,65.75
Manhattan,Queens,PM,3,30,51,1325,0.43,1.5194162871553794,20.98,58.03
Brooklyn,Brooklyn,PM,9,0,13,680,0.85,1.3929173693086003,2.56,19.45
Bronx,Queens,AM,10,30,39,1035,0.44,1.0,9.73,52.21
EWR,Queens,PM,8,0,110,2452,0.37,1.0,17.58,116.18
Queens,Brooklyn,PM,6,15,40,971,0.4,1.390183569847676,13.47,50.59
Queens,Brooklyn,AM,4,0,27,1511,0.93,1.3557046979865772,13.06,44.63
EWR,Manhattan,PM,1,30,58,3460,1.0,1.0,11.75,124.92
Staten Island,Queens,PM,4,30,64,518,0.13,1.0,10.55,63.5
Brooklyn,Staten Island,PM,4,15,48,895,0.31,1.0833333333333333,10.72,58.26
Bronx,Queens,PM,8,15,27,775,0.48,0.9615384615384616,5.51,44.28
Queens,Brooklyn,AM,3,45,25,596,0.39,1.3428571428571427,12.94,44.55
Brooklyn,Brooklyn,AM,6,30,16,881,0.93,1.0934182590233543,2.77,19.49
Bronx,Bronx,AM,8,30,17,680,0.67,1.1,2.4,20.44
Manhattan,Brooklyn,PM,4,15,37,925,0.41,1.3900859220092532,6.66,37.6
Brooklyn,Staten Island,AM,2,0,23,913,0.65,1.2857142857142858,6.78,47.38
Bronx,Manhattan,PM,1,45,34,945,0.46,1.1702127659574468,5.08,33.39
Staten Island,Brooklyn,AM,6,15,50,710,0.23,1.0,17.31,62.03
Bronx,Queens,AM,5,45,29,513,0.29,1.0684931506849316,9.87,46.87
Bronx,Manhattan,PM,2,0,38,1904,0.83,1.1377777777777778,5.28,33.9
Queens,Manhattan,PM,6,15,42,1103,0.44,1.5140971598369153,17.5,62.97
Brooklyn,EWR,PM,4,30,67,1181,0.29,1.25,18.48,114.78
Brooklyn,Manhattan,PM,9,0,23,655,0.47,1.4747340425531914,5.34,30.86
Bronx,Queens,AM,6,0,30,565,0.31,0.9946524064171124,10.6,45.35
Brooklyn,Staten Island,AM,1,45,24,805,0.57,1.1111111111111112,3.52,44.21
Brooklyn,Manhattan,PM,8,45,24,614,0.43,1.5182186234817814,51.05,30.11
Queens,EWR,PM,1,45,75,1726,0.38,1.644736842105263,32.95,151.24
Manhattan,Brooklyn,AM,2,0,21,496,0.39,1.405658224960073,6.0,28.92
Queens,EWR,PM,2,0,73,1094,0.25,1.7415730337078652,33.95,152.34
EWR,Manhattan,AM,11,0,35,176,0.08,1.0,13.73,97.05
Manhattan,Brooklyn,AM,1,45,21,614,0.48,1.404864241534752,5.99,28.96
EWR,Manhattan,AM,10,45,30,0,0.0,2.0,17.31,96.65
Manhattan,Manhattan,PM,4,15,13,474,0.59,1.4015768229193386,4.1,16.91
Brooklyn,Bronx,PM,4,45,77,1636,0.35,1.0,10.18,61.5
Manhattan,Queens,AM,8,15,32,930,0.49,1.4563357546408393,13.06,53.86
Brooklyn,Manhattan,AM,6,30,27,1122,0.69,1.113699906803355,40.15,34.49
Queens,Manhattan,AM,4,0,27,1017,0.63,1.483108108108108,14.36,57.45
Bronx,Brooklyn,PM,5,0,65,771,0.2,1.0,10.01,61.14
Bronx,Brooklyn,PM,4,45,72,1136,0.26,0.972972972972973,7.35,59.61
EWR,EWR,PM,4,15,1,515,7.69,1.768,1.21,92.38
Queens,EWR,AM,11,15,59,4863,1.37,1.797752808988764,33.5,150.02
Brooklyn,Bronx,PM,5,0,77,1372,0.3,1.027027027027027,11.35,65.19
Bronx,Manhattan,AM,11,15,34,1374,0.67,1.1152542372881356,5.92,34.09
Queens,Bronx,PM,2,15,42,1161,0.46,1.3311897106109325,15.42,57.39
Bronx,Queens,PM,12,30,40,1096,0.45,1.0535714285714286,9.79,54.35
Queens,Manhattan,AM,3,45,28,734,0.44,1.452247191011236,14.79,59.77
Staten Island,Queens,AM,9,15,79,1529,0.32,1.0,22.93,75.94
Manhattan,Manhattan,AM,1,45,10,530,0.88,1.4704990770377144,2.44,16.36
Brooklyn,Brooklyn,PM,8,30,13,729,0.9,1.3481421647819063,2.44,18.21
Queens,Brooklyn,PM,6,0,42,940,0.38,1.41661233537619,13.71,51.01
Bronx,Brooklyn,AM,2,30,32,99,0.05,1.0,3.78,57.38
Brooklyn,Bronx,AM,2,30,32,235,0.12,1.1666666666666667,13.96,59.76
Brooklyn,Queens,PM,2,15,42,1027,0.4,1.2976744186046512,10.74,49.06
Staten Island,Manhattan,PM,5,15,68,955,0.24,1.0,11.87,83.29
EWR,EWR,AM,2,0,0,27,1.1,1.3333333333333333,0.17,95.53
Queens,Brooklyn,PM,5,45,43,1061,0.41,1.421741894469167,13.5,52.98
Manhattan,Manhattan,AM,2,0,10,424,0.7,1.4594327668455576,5.75,16.39
EWR,Manhattan,AM,6,15,0,0,0.0,1.0,0.0,15.3
EWR,EWR,AM,1,45,0,5,0.48,0.8571428571428571,0.0,96.47
Manhattan,Staten Island,AM,9,45,43,1043,0.4,1.15,18.61,71.78
Staten Island,Brooklyn,AM,10,30,64,2853,0.75,1.0,13.25,70.77
Staten Island,EWR,PM,1,0,69,306,0.07,1.5,28.56,128.55
Bronx,Queens,PM,8,0,24,1137,0.78,1.125,5.26,39.28
EWR,Manhattan,PM,12,45,45,509,0.19,1.3333333333333333,17.05,93.59
Manhattan,Queens,AM,12,30,23,383,0.28,1.3718503196690486,6.16,29.27
Brooklyn,EWR,AM,9,15,43,417,0.16,1.6666666666666667,14.85,107.47
Bronx,Queens,PM,7,45,28,1133,0.67,1.0,6.04,43.12
Queens,Brooklyn,AM,3,30,25,514,0.35,1.345771144278607,13.56,46.28
Queens,Staten Island,PM,1,15,51,658,0.22,1.5135135135135136,24.38,81.49
Staten Island,Manhattan,AM,3,0,42,0,0.0,1.0,0.0,73.55
Manhattan,Brooklyn,PM,3,45,37,996,0.44,1.3696811971372804,24.15,36.67
Brooklyn,Staten Island,PM,3,45,48,634,0.22,1.0,13.89,52.51
Brooklyn,Staten Island,PM,4,0,47,1006,0.35,1.0769230769230769,12.3,66.43
Staten Island,Bronx,PM,1,15,63,282,0.07,1.0,25.4,87.62
Staten Island,Brooklyn,PM,8,15,36,275,0.13,1.0,18.72,65.05
Manhattan,Brooklyn,PM,4,0,38,864,0.38,1.3974787754051967,23.98,39.27
Brooklyn,Staten Island,AM,1,30,8,585,1.29,1.375,4.45,26.06
Queens,Manhattan,PM,5,45,44,1209,0.46,1.534852421046042,14.67,63.81
Manhattan,Brooklyn,AM,1,30,22,589,0.45,1.410325276037004,6.05,29.37
Brooklyn,Manhattan,PM,8,30,24,639,0.44,1.4607046070460703,73.86,30.09
EWR,Brooklyn,AM,5,45,65,0,0.0,5.0,22.02,150.1
Queens,Queens,AM,9,45,14,1420,1.64,1.3693882298208886,5.47,25.38
EWR,Brooklyn,AM,6,0,47,0,0.0,3.0,22.68,118.37
Bronx,Queens,AM,5,30,30,587,0.32,1.0303030303030305,8.03,50.54
Staten Island,Brooklyn,PM,4,45,73,2631,0.6,1.0588235294117647,14.83,57.68
Queens,Manhattan,PM,6,0,43,1187,0.46,1.536231884057971,14.67,63.3
Queens,EWR,PM,1,30,68,912,0.22,1.7228915662650603,33.04,150.78
Bronx,Manhattan,PM,1,30,34,1024,0.5,1.0855855855855856,5.75,33.42
Staten Island,Brooklyn,AM,6,0,49,776,0.26,1.0,16.66,65.4
EWR,EWR,PM,3,45,0,57,2.37,1.8977272727272727,0.35,93.96
Queens,Manhattan,AM,3,30,28,796,0.47,1.5251479289940828,15.58,62.45
EWR,EWR,PM,4,0,1,114,2.73,1.8589211618257264,0.2,98.07
Manhattan,Queens,AM,8,0,32,863,0.45,1.456841626213592,30.5,54.33
Queens,EWR,AM,10,45,66,1331,0.34,1.605263157894737,35.35,151.28
Manhattan,Manhattan,PM,3,45,13,461,0.58,1.398989164130483,4.26,16.06
Staten Island,Brooklyn,PM,12,30,48,1384,0.48,1.0,13.96,55.04
Queens,EWR,AM,11,0,69,1266,0.31,1.7469879518072289,33.77,147.66
Brooklyn,Bronx,PM,4,30,83,1531,0.31,1.0,10.03,62.24
Bronx,Brooklyn,PM,4,30,76,1530,0.34,1.0,10.1,61.03
Bronx,Manhattan,AM,10,45,34,1048,0.51,1.079734219269103,6.24,34.73
Bronx,Manhattan,AM,11,0,34,1039,0.51,1.1318681318681318,5.79,34.37
Manhattan,Manhattan,PM,4,0,13,457,0.57,1.4035249507052936,3.47,16.89
Manhattan,Queens,AM,7,45,32,899,0.47,1.461985908569556,37.77,54.45
Manhattan,Manhattan,AM,1,30,10,410,0.67,1.462168119192816,6.36,16.29
Staten Island,Manhattan,PM,4,45,71,1275,0.3,1.0,18.07,79.33
Brooklyn,Queens,PM,2,0,41,1012,0.42,1.3842794759825328,11.23,49.42
Bronx,EWR,PM,4,15,51,0,0.0,2.0,25.23,173.6
Staten Island,Queens,AM,8,45,81,1067,0.22,1.0,6.8,84.14
Queens,Brooklyn,PM,5,30,43,948,0.36,1.4108171817705606,13.42,51.9
Staten Island,Manhattan,PM,5,0,71,1059,0.25,1.0,20.67,84.56
Queens,Bronx,AM,11,15,35,1173,0.57,1.3699731903485255,14.24,54.3
Manhattan,Staten Island,AM,9,30,51,975,0.32,1.4230769230769231,19.05,72.38
Staten Island,Queens,AM,9,0,72,692,0.16,1.0,20.3,79.7
EWR,EWR,AM,1,30,1,112,1.5,1.3333333333333333,0.01,82.95
Bronx,Queens,PM,7,30,35,1205,0.57,1.1904761904761905,7.51,46.93
Brooklyn,Queens,AM,11,15,33,940,0.47,1.3017241379310345,732.84,43.4
Staten Island,Brooklyn,PM,8,0,42,874,0.35,1.0,19.74,66.67
Brooklyn,Staten Island,PM,3,30,50,495,0.17,1.0,14.34,55.15
Manhattan,Brooklyn,PM,3,30,36,894,0.41,1.3855338053588782,16.63,36.2
Queens,Staten Island,PM,1,0,54,948,0.29,1.3902439024390243,25.69,91.14
Staten Island,Manhattan,AM,2,30,43,60,0.02,1.0,9.12,79.5
EWR,Manhattan,PM,12,30,31,0,0.0,3.0,14.4,110.45
Brooklyn,EWR,AM,9,0,42,507,0.2,1.1428571428571428,18.57,103.73
Queens,EWR,AM,6,15,56,911,0.27,1.4827586206896552,35.06,149.55
Brooklyn,EWR,AM,8,45,46,613,0.22,1.4,15.23,99.74
Bronx,Manhattan,AM,6,15,36,1057,0.49,1.1021505376344083,7.32,40.63
Bronx,Bronx,AM,2,15,8,635,1.41,1.4,1.86,23.54
Manhattan,EWR,AM,4,15,28,313,0.19,1.572265625,18.57,93.43
Queens,Manhattan,PM,5,30,46,1106,0.4,1.5411448186288152,14.72,64.13
Manhattan,Brooklyn,AM,12,45,23,543,0.4,1.389822842065586,6.15,30.23
Manhattan,Queens,PM,9,45,23,1191,0.87,1.3517348524080788,6.67,32.44
Queens,EWR,PM,12,45,70,1237,0.29,1.359375,31.99,149.22
Bronx,Brooklyn,AM,9,15,56,928,0.28,1.0,13.52,63.58
Queens,Staten Island,AM,10,15,51,646,0.21,1.5333333333333334,23.76,87.97
