BOROUGH,tf_ampm,tf_hour,tf_min_block,avg_speed,CI
Bronx,PM,11,00,37.81784637554587,0.24364307248908257
Brooklyn,AM,07,30,34.13806081880173,0.3172387836239653
Bronx,PM,04,15,25.46296292817068,0.4907407414365864
Bronx,PM,05,00,25.928483970677636,0.4814303205864473
Queens,PM,01,15,37.31939069528213,0.25361218609435743
Manhattan,PM,09,45,24.19333212026419,0.5161333575947162
Queens,AM,06,15,42.92325064936412,0.1415349870127176
Queens,PM,02,00,36.16508874257141,0.2766982251485718
Brooklyn,PM,09,15,37.71414365617464,0.24571712687650715
Queens,AM,07,00,40.25222078697368,0.1949555842605264
Bronx,PM,07,45,32.69519815115982,0.3460960369768036
Queens,PM,10,45,42.931802274361345,0.14136395451277306
Staten Island,AM,02,45,41.39760460036857,0.1720479079926287
Queens,AM,09,45,38.874815359724984,0.2225036928055003
Queens,PM,11,30,43.207068319004975,0.13585863361990047
Bronx,PM,08,30,34.960625239968266,0.30078749520063464
Queens,PM,04,45,31.053448441270955,0.37893103117458093
Staten Island,AM,03,30,41.833277216457624,0.16333445567084748
Queens,PM,05,30,30.959586083235386,0.3808082783352923
Staten Island,PM,11,15,40.37726987703913,0.1924546024592173
Staten Island,PM,05,15,32.67568646902296,0.34648627061954074
Staten Island,PM,12,00,37.39960622251908,0.25200787554961834
Staten Island,PM,06,00,33.59432138748315,0.328113572250337
Staten island,PM,02,15,35.41992977528089,0.2916014044943822
Staten island,AM,07,15,40.16260152890586,0.19674796942188277
Staten island,AM,08,00,39.13950023573789,0.2172099952852422
Staten island,PM,03,00,34.392211267605646,0.31215577464788713
Manhattan,AM,12,15,22.74023632588178,0.5451952734823644
Staten island,PM,11,45,39.24704759660696,0.2150590480678608
Manhattan,PM,01,15,23.43887121569583,0.5312225756860833
Staten Island,PM,08,45,39.19515190468934,0.2160969619062132
Manhattan,AM,06,15,28.99389223615831,0.42012215527683383
Staten island,PM,05,45,31.99990193789399,0.36000196124212014
Staten island,PM,12,30,36.52711529521153,0.26945769409576936
Manhattan,AM,07,00,26.517635002797977,0.4696472999440404
Staten Island,PM,09,30,39.74825991039914,0.20503480179201716
Manhattan,PM,02,00,22.833258989324715,0.5433348202135058
Brooklyn,AM,01,45,40.313483823659574,0.19373032352680852
Staten island,PM,06,30,34.67131868131869,0.3065736263736263
Bronx,AM,10,15,32.41734205315894,0.35165315893682125
Manhattan,PM,10,45,24.055554986430185,0.5188889002713963
Brooklyn,AM,02,30,40.78779815113869,0.18424403697722624
Bronx,AM,04,15,41.935069364212055,0.16129861271575896
Bronx,AM,11,00,31.42210967858153,0.37155780642836933
Brooklyn,PM,10,15,37.82048396131296,0.24359032077374076
Manhattan,PM,11,30,22.943529840441855,0.5411294031911629
Manhattan,PM,04,45,17.524557145226215,0.6495088570954757
Queens,AM,01,15,43.57577273874334,0.1284845452251332
Manhattan,AM,09,45,22.650251202932864,0.5469949759413427
Bronx,AM,05,00,42.88888588284579,0.1422222823430842
Brooklyn,AM,09,15,32.77325458431768,0.3445349083136464
Queens,AM,02,00,43.60478731237616,0.12790425375247683
Manhattan,PM,05,30,17.631823074182705,0.6473635385163459
Brooklyn,PM,04,15,30.374229779548205,0.3925154044090359
Brooklyn,PM,11,00,37.94259504174115,0.241148099165177
Brooklyn,PM,05,00,30.466018346379638,0.3906796330724073
Bronx,PM,02,45,27.04653998212322,0.4590692003575356
Bronx,AM,07,45,32.98839008135712,0.3402321983728577
Queens,AM,10,45,38.14346712844633,0.2371306574310733
Bronx,PM,03,30,25.994840976771908,0.4801031804645618
Queens,AM,11,30,37.944346276769785,0.24111307446460428
Bronx,AM,08,30,31.585743848982528,0.36828512302034944
Queens,AM,04,45,48.589900978469636,0.028201980430607287
Brooklyn,PM,07,45,35.45429128141482,0.29091417437170364
Queens,AM,05,30,47.58268190638513,0.04834636187229735
Staten Island,AM,11,15,37.4207993049522,0.2515840139009561
Brooklyn,PM,08,30,36.81082457898709,0.2637835084202582
Staten Island,AM,05,15,43.06872489481351,0.1386255021037297
Staten Island,AM,12,00,41.20934217592094,0.17581315648158125
Queens,PM,07,15,36.39128187713501,0.27217436245729987
Staten Island,AM,06,00,41.30218988114426,0.17395620237711484
Staten island,AM,02,15,40.712696897374684,0.18574606205250632
Staten Island,PM,01,00,37.53085888911277,0.24938282221774455
Queens,PM,08,00,38.930648676440526,0.22138702647118946
Staten island,AM,03,00,40.541344396344414,0.18917311207311172
Staten Island,PM,03,45,33.90137823180391,0.32197243536392184
Staten Island,PM,10,30,40.353116595835935,0.19293766808328128
Staten Island,AM,08,45,37.60678361226443,0.24786432775471146
Staten island,AM,11,45,36.73313348946134,0.2653373302107732
Manhattan,AM,01,15,22.819484787901892,0.5436103042419622
Staten Island,PM,04,30,33.49794953544057,0.3300410092911886
Staten island,AM,05,45,41.34201050620821,0.1731597898758358
Staten Island,AM,09,30,38.11327664849788,0.23773446703004242
Staten island,AM,12,30,39.86979259957575,0.20260414800848492
Manhattan,AM,02,00,22.87018668180864,0.5425962663638272
Staten island,PM,01,30,36.16526710402998,0.2766946579194004
Staten island,AM,06,30,40.71367327442083,0.1857265345115835
Manhattan,AM,10,45,23.060178526565814,0.5387964294686838
Staten island,PM,08,15,39.152504084014005,0.21694991831971988
Brooklyn,AM,10,15,33.504544180219064,0.3299091163956187
Manhattan,AM,11,30,22.91285138485407,0.5417429723029186
Manhattan,AM,04,45,28.090818529484324,0.4381836294103135
Staten island,PM,09,00,39.92719434003978,0.2014561131992043
Brooklyn,AM,11,00,33.04232170576331,0.3391535658847339
Brooklyn,AM,04,15,42.64740446300536,0.14705191073989288
Manhattan,AM,05,30,30.738047793633214,0.3852390441273357
Brooklyn,AM,05,00,42.76031535007274,0.14479369299854528
Bronx,AM,02,45,40.3565152097902,0.192869695804196
Manhattan,PM,07,15,21.762008868573528,0.5647598226285295
Bronx,AM,03,30,41.342267236865084,0.17315465526269835
Manhattan,PM,08,00,23.62284766066451,0.5275430467867097
Bronx,PM,11,15,37.59780096293851,0.2480439807412299
Brooklyn,AM,07,45,33.57921255596384,0.3284157488807231
Brooklyn,PM,02,45,31.79413185500428,0.36411736289991437
Bronx,PM,12,00,30.25397995241139,0.39492040095177217
Brooklyn,AM,08,30,32.09462608717355,0.358107478256529
Bronx,PM,05,15,26.001166844874046,0.4799766631025191
Brooklyn,PM,03,30,31.13805564450576,0.37723888710988485
Bronx,PM,06,00,27.313765005734687,0.4537246998853063
Queens,PM,02,15,35.5040814051019,0.289918371897962
Queens,AM,07,15,39.20938547083357,0.21581229058332863
Queens,PM,03,00,33.77407693043439,0.32451846139131224
Queens,AM,08,00,38.18071785979439,0.23638564280411212
Staten Island,AM,01,00,41.35265778263833,0.1729468443472334
Queens,PM,11,45,43.5432712326837,0.129134575346326
Bronx,PM,08,45,35.453945104845026,0.2909210979030995
Queens,PM,05,45,31.294995592242344,0.37410008815515317
Queens,PM,12,30,37.849440801174346,0.2430111839765131
Bronx,PM,09,30,36.96012600881535,0.26079747982369295
Staten Island,AM,03,45,42.09170154673657,0.15816596906526859
Staten Island,AM,10,30,37.66194122682651,0.24676117546346987
Queens,PM,06,30,33.2061699891392,0.335876600217216
Staten Island,AM,04,30,42.847057124124056,0.1430588575175189
Staten Island,PM,12,15,37.260168948481734,0.25479662103036527
Staten island,AM,01,30,40.367086140519724,0.1926582771896055
